,video_title,view_count,like_count,comment_count,wikipedia_categories,duration_seconds,comments
10,Sia - Chandelier ,2673971633,12982728.0,584931,"Music, Pop music",232.0,"['😢', 'Cannot believe for the life of me this song turns 10 this summer. A song that sounds so bright brilliantly talking alcoholism and depression in society.', 'So Absolutely Beautiful, I break out in tears whenever I hear this ‼️', 'I came here from the guy screaming to have s3x with the green M&M 🤣🤣😂😂', '2024 let’s see who’s still listening to this masterpiece', 'Please 👍 if you hit the like button when someone asks if, ""you\'re still listening in 23\', 24\', etc..."" Im doing a statistical analysis on YT comments. 😊', 'I miss her old voice...', 'Бесовщина', ""I can't believe it's already been 9 years since this song released and by far it is my most favourite one."", 'Que belleza de canción 👌']"
11,Imagine Dragons - Believer ,2587937306,21623408.0,629985,"Independent music, Music, Pop music, Rock music",217.0,"['I’ll be here in another 6 years, banger', 'Muitoooo boa ❤', 'Believer , 👍👍👍', 'In february 2024', '🌈quien los de 2050?🎉', '""I wanna stop""\nOffice: ""We can\'t""', '❤🎉🎉🎉🎉🎉', '1:24 3rd things 3rd send a prayer to the worms(ones) up above', '❤❤❤❤', 'Je moeder 😅😂❤❤❤❤❤']"
12,Adele - Rolling in the Deep ,2451052035,12873699.0,425388,"Music, Pop music",234.0,"['Her voice reminds me of the honking sound of my Fiat 127, really!  How can anyone find this pleasant?', '今も日本人で聞いている人はいますか！？', 'just got concerts for Munich in August 2024, landed here thinking about 14 years old me who listened to this song when it was brand new on Viva and was stunned from the very first time having no clue this woman would become the biggest queen of our generation 🫶', 'The weekend', 'Ame ❤', 'This one will never get old. ❤', ""RingkasanLirikVideoDengarkanRekaman Lainnya\nThere's a fire starting in my heart\nReaching a fever pitch, it's bringing me out the dark\nFinally I can see you crystal clear\nGo ahead and sell me out and I'll lay your ship bare\nSee how I'll leave with every piece of you\nDon't underestimate the things that I will do\nThere's a fire starting in my heart\nReaching a fever pitch and it's bringing me out the dark\nThe scars of your love remind me of us\nThey keep me thinking that we almost had it all\nThe scars of your love they leave me breathless\nI can't help feeling\nWe could've had it all (you're gonna wish you)\n(Never had met me)\nRolling in the deep (tears are gonna fall)\n(Rolling in the deep)\nYou had my heart inside (you're gonna wish you)\nOf your hands (never had met me)\nAnd you played it (tears are gonna fall)\nTo the beat (rolling in the deep)\nBaby, I have no story to be told\nBut I've heard one on you, now I'm gonna make your head burn\nThink of me in the depths of your despair\nMake a home down there, as mine sure won't be shared\nThe scars of your love (never had met me)\nRemind me of us (tears are gonna fall)\nThey keep me thinking (rolling in the deep)\nThat we almost had it all (you're gonna wish you)\nThe scars of your love (never had met me)\nThey leave me breathless (tears are gonna fall)\nI can't help feeling (rolling in the deep)\nWe could've had it all (you're gonna wish you)\n(Never had met me)\nRolling in the deep (tears are gonna fall)\n(Rolling in the deep)\nYou had my heart inside (you're gonna wish you)\nOf your hands (never had met me)\nAnd you played it (tears are gonna fall)\nTo the beat (rolling in the deep)\nWe could've had it all\nRolling in the deep\nYou had my heart inside of your hand\nBut you played it with a beating\nThrow your soul through every open door (whoa)\nCount your blessings to find what you look for (whoa)\nTurn my sorrow into treasured gold (whoa)\nYou pay me back in kind and reap just what you've sown\nWe could've had it all (tears are gonna fall, rolling in the deep)\nWe could've had it all (you're gonna wish you never had met me)\nIt all, it all, it all (tears are gonna fall, rolling in the deep)\nWe could've had it all (you're gonna wish you)\n(Never had met me)\nRolling in the deep (tears are gonna fall)\n(Rolling in the deep)\nYou had my heart inside (you're gonna wish you)\nOf your hands (never had met me)\nAnd you played it (tears are gonna fall)\nTo the beat (rolling in the deep)\nCould've had it all (you're gonna wish you)\n(Never had met me)\nRolling in the deep (tears are gonna fall)\n(Rolling in the deep)\nYou had my heart inside (you're gonna wish you)\nOf your hands (never had met me)\nBut you played it, you played it, you played it\nYou played it to the beat"", 'Empoderamiento. El nuevo escupitajo divino', 'I love Adele and this one is timeless , but sometimes  Adele looks like she s over 50 years old', '2025?']"
13,Christina Perri - A Thousand Years [Official Music Video],2394651465,14834953.0,501098,"Music, Pop music",288.0,"['Im sorry to the cops and the talent scouts and the famous people on my phones and my neighbors and Brigham city neighbors. Im sorry. ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤and the recording devices and listening devices. I wanted to play my music. I never got privacy in my apts or anywhere else. Ever.', '2024❤❤🎉🕯️🕯️🕯️🕯️🕯️', 'Perfect pretty girl perfect sweet girl perfect work in the world perfect team in the world 070224.', 'February 7 2024', 'Why do I keep crying everytime I listen to this', 'I like the new song', 'I have loved you for the thousand years 🥺🙂😭🙏🙏🙏', 'Está canción se la dedico a mi marido y ahora que vamos haber 4 años juntos y 4 años de mejores amigos. Es preciosa y me encanta mucho', ""It's been a years now.🤧"", 'For me, one of the most beautiful ballads they could have written and the melody takes you to the heart, thanks namesake @Christina Perri']"
14,Bruno Mars - That’s What I Like [Official Music Video],2250744660,13289448.0,386783,"Hip hop music, Music, Pop music, Rhythm and blues",211.0,"[""Who's here in 2025?"", '2024 \U0001fa77', 'Whos here in 2026?', ""Name Song:Bruni Mars - That's What I Like\n\nTrend:\n0:08 \n0:50\n1:00 \n1:05\n2:04\n2:14 \n2:32\n3:01 \n3:11 \n\nLyrics:\nI got a condo in Manhattan\nBaby girl, what's happening?\nYou and your ass invited\nSo gon' and get to clappin'\nGirl, pop it for a pimp\nPop, pop it for me\nTurn around and drop it for a pimp\nDrop, drop it for me\nI'll rent a beach house in Miami\nWake up with no jammies\nLobster tail for dinner\nJulio serve that scampi\nYou got it if you want it\nGot, got it if you want it\nSaid you got it if you want it\nTake my wallet if you want it now\n\nJump in the Cadillac\nGirl, let's put some miles on it\nAnything you want\nJust to put a smile on it\nYou deserve it, baby, you deserve it all\nAnd I'm gonna give it to you\n\nGold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\n\nI'm talkin' trips to Puerto Rico\nSay the word and we go\nYou can be my freaka\nGirl, I'll be a fleeko, mamacita\nI will never make a promise that I can't keep\nI promise that your smile ain't gon' never leave\nShopping sprees in Paris\nEverything 24 karats\nTake a look in that mirror\nNow tell me who's the fairest\nIs it you? Is it you? Is it me? Is it me?\nSay it's us, say it's us, and I'll agree, baby\n\nJump in the Cadillac\nGirl, let's put some miles on it\nAnything you want\nJust to put a smile on you\nYou deserve it, baby, you deserve it all\nAnd I'm gonna give it to you\n\nGold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\n\nIf you say you want a good time\nWell here I am, baby, here I am, baby\nTalk to me, talk to me, talk to me\nTell me what's on your mind\nIf you want it, girl come and get it\nAll this is here for you\nTell me, baby, tell me, tell me, baby\nWhat you tryna do\n\nGold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like"", 'Mack human nephew played in  the band asked me for me to sign to pay for food and found out my endorsement was forged for cars, Clothes, and who knows who ever else in my family suffer for his luxury life style or habits', 'Mp vs mp', 'Nice', '2025🙌', 'Man im old its 2024 u was my childhood fs', 'Whos here in 3067?']"
15,Gotye - Somebody That I Used To Know  [Official Music Video],2216695215,15688069.0,812973,"Music, Pop music",244.0,"['Это любимая песня моего папы', 'wow really a master piece❤', 'Literally mentioning me and my ex in the song😂😂😅', 'MGTOW when she is an adulteress. Did I get this right internet?', 'Who else thought she was katy paerry....... lol', 'The time passes too fast❤', '2:39 is the best', 'the song is really good\nbut this august was 12 years ago', 'Bro is truly someone we used to know.', 'Still my favourite song 💖💖']"
16,Numb  [4K UPGRADE] – Linkin Park,2172801320,13474974.0,575951,"Independent music, Music, Rock music",188.0,"['2024', ""Who's watching in February 2024?"", ""Who's watching in February 2024?😌"", 'NIKKI ❤Linkin Park  ITACHi', 'Who is watching in February 2024', 'February 2024?', '👍', ""Chester's greatest moment. Just brilliant."", 'The meaning of this song really makes me cry. Explain everything that i met.', 'February 2024 🎉']"
17,Future - Life Is Good ,2154861518,10119084.0,227028,"Hip hop music, Music",336.0,"['where the song should start 1:42', '0:12 me working in retail.', 'woi kampang', 'Chilling on the weekend like usual watching SpongeBob and eco y doby doo', 'The world used to be alright when this song was out 😂😶💭🫥 now we have arguments over stupid stuff 😂😂🙃', 'Who here in 2045', 'Look at my daddy friend', '0:54', ""Life's gud🎉"", ""0:12 So thats how he's trending on twitter.""]"
18,Adele - Someone Like You ,2149338123,10478817.0,361610,"Music, Pop music",285.0,"['Linda', '❤', 'all the very best. xx', 'Música conhecesse a árvore pelo seu fruto para ir para o fogo.', ""I'm watching your videos now, but i eat toxic food. \n\nI CAN'T AFFORD TO BUY, THOSE SAFE FOODS here, very expensive."", 'I married Adele, the heaven whispered to me, your blessed ❤😊', 'What a voice!', 'Someone in 2024 listening to the masterpiece', '2024 anyone?', 'Se hello.. im miss yuor song..🙏🙏👍♥️']"
19,"Billie Eilish, Khalid - lovely ",1989875548,26439676.0,592275,"Independent music, Music, Pop music",201.0,"['2024 anyone here🙋', 'I am an Arab from Iraq. I am writing this text from Google translation for those who speak the English language. We encourage you with creation and humanity. We were created to complement each other, not to harbor grudges and hatred for each other.', '❤', 'Quién en 2024', '2024❤lovey 02:00', 'I am from Azerbaijan 🇦🇿', ""That's very deep"", 'My love is song', ""It's good for 2024🎉🎉"", '❤❤❤😢']"
20,50 Cent - In Da Club ,1985326407,12123831.0,319129,"Hip hop music, Music",248.0,"['I am an Arab from Iraq. I am writing this text from Google translation for those who speak the English language. We encourage you with creation and humanity. We were created to complement each other, not to harbor grudges and hatred for each other.', ""This song will never die. It's imprinted in Millennials' brains. It's the sound we Millennials will hear as we pass away in our old age. Go towards the light? Go! Go!"", 'THIS HITS HARD AFTER WATCHING VERBALASE', 'Almost 2 billion views.......woww !!', 'february 2024', 'From the Golden Era of Rap, R&B and Hip Hop!\nNever gets old!', '2024', '1milliars et près de vue ces fou hin🎉🎉🎉😢❤😢❤😢', ""Who's here in 2024"", 'Lol money']"
21,Bruno Mars - Just The Way You Are ,1919132895,8242612.0,246868,"Music, Pop music",237.0,"[""I've never listened to Bruno Mars. i love this song, and I'll be searching for more."", 'Thing', 'Are', 'Сирена из Дневников вампира 🙂', ""When I see your face\nThere's not a thing that I would change\n'Cause you're amazing\nJust the way you are\nAnd when you smile\nThe whole world stops and stares for a while\n'Cause girl, you're amazing\nJust the way you are...\n\n❤️"", 'Услышал в такси и решил вернуться сюда )', 'True Love!!!!💖💖💖💖💖💖💖💖💖', '""Pois garota, você é maravilhosa, do jeito que você é!!""', 'yes love this song i have a stuffed panda that sings this', 'Nostalgia 💜']"
22,Eminem - Without Me ,1858053799,13428108.0,375664,"Hip hop music, Music",298.0,"['czemu  mnie  zabiłeś w fortnite eminemie?', 'The song is good but the video is perfect', 'TÜRKLER TOPLANIN ❤❤', ""Abi mükemmel bir rap şarkısı Türkiye'den selamlar ben Can"", '2024!', 'My battery:1%\nMy phone:plays this song\nMy battery:i’ll wait', 'Soon it will be 2 billion...', '22:32', 'Facebook using more song there', ""Me trying to concentrate during a test\r\n\r\nMy brain: Guess who's back , Guess who's back""]"
23,Nirvana - Smells Like Teen Spirit ,1800168056,13110136.0,502691,"Music, Rock music",279.0,"['2024?', '2:40', ""1.8 billion, let'sgo"", 'You know you have a hit when the janitor is getting jiggy to it.', 'The song that killed big hair fluff rock', 'Nirvana is my favorite band, I even named my pet Gerbil, Nirvana.', '2024', 'Si Louis no usaba esta song no se hacia conocida', 'Kurt cobain was a different man from rest of all❤❤', 'Посмертная слава длится больше времени чем он прожил']"
24,Lady Gaga - Bad Romance ,1783060096,8927176.0,891931,"Music, Pop music",309.0,"['Red skeleton  china new', 'China selection  flag it new', 'Pumpkin  best put candy bag 4:42', 'Usa selection bury  flag', 'feminist Bart Simpson', '3 bad romance', '👍👍👍👍👍👍💯💯💯💯💯💯💥💥💥💥💥💥💥💥💥', '2009: Lady Gaga is so weird\n\n2024: Lady Gaga is queen', 'u can not get my disease its some rare its better than covid 19 good luck its crazy juice', 'i ']"
25,4 Non Blondes - What&#39;s Up ,1722989448,7353800.0,199082,"Country music, Independent music, Music, Pop music, Rock music",293.0,"['Técnica vocal incrível.❤', 'https://youtu.be/NrA-qnAY2Lk?si=4CzEfq7FMDpK6nHv', 'Almost 2m viewers', 'Every day I pray an get real high an scream at the top of my lungs what is going on', 'fck, i love uuu😍😍😍😍😍', 'Vine aquí por recomendación de YouTube, no esperaba recordar a He-Man', 'De belles  griffes dans le passé !', 'Csajok a csúcson', 'Best one hit wonder of all time', 'Me encanta esta música quiero escucharla en español como la busco']"
26,In The End [Official HD Music Video] - Linkin Park,1707898757,11334446.0,431341,"Music, Rock music",219.0,"['*Counter Strike Xtreme*', 'RIP Chester 🫡', ""It starts with one\nOne thing\nI don't know why\r\nIt doesn't even matter how hard you try\r\nKeep that in mind, I designed this rhyme\r\nTo explain in due time, all I know\r\nTime is a valuable thing\r\nWatch it fly by as the pendulum swings\r\nWatch it count down to the end of the day\r\nThe clock ticks life away, it's so unreal\r\nDidn't look out below\r\nWatch the time go right out the window\r\nTryin' to hold on, d-didn't even know\r\nI wasted it all just to watch you go\nI kept everything inside\r\nAnd even though I tried, it all fell apart\r\nWhat it meant to me will eventually be\r\nA memory of a time when I tried so hard\nI tried so hard and got so far\r\nBut in the end, it doesn't even matter\r\nI had to fall to lose it all\r\nBut in the end, it doesn't even matter\nOne thing \nI don't know why\r\nIt doesn't even matter how hard you try\r\nKeep that in mind, I designed this rhyme\r\nTo remind myself how I tried so hard\r\nIn spite of the way you were mockin' me\r\nActin' like I was part of your property\r\nRemembering all the times you fought with me\r\nI'm surprised it got so far\r\nThings aren't the way they were before\r\nYou wouldn't even recognize me anymore\r\nNot that you knew me back then\r\nBut it all comes back to me in the end\nYou kept everything inside\r\nAnd even though I tried, it all fell apart\r\nWhat it meant to me will eventually be\r\nA memory of a time when I tried so hard\r\nI tried so hard and got so far\r\nBut in the end, it doesn't even matter\r\nI had to fall to lose it all\r\nBut in the end, it doesn't even matter\nI've put my trust in you, pushed as far as I can go\r\nFor all this, there's only one thing you should know\r\nI've put my trust in you, pushed as far as I can go\r\nFor all this, there's only one thing you should know\nI tried so hard and got so far\r\nBut in the end, it doesn't even matter\r\nI had to fall to lose it all\r\nBut in the end, it doesn't even matter"", 'We still missing you, Chester...', 'this song is for you my best friends.. remember you are my best friends but you betrayed me. everything i did everything i do. i have put all my sweat to make this done and you destroy all the hope', 'Сhester😥', 'I miss you Chester', 'they bought more land in wasterland', 'feels like yesterday, playing counter strike', 'Rip Chester 😭😭😭😭😭']"
27,Bruno Mars - 24K Magic ,1644396055,8371889.0,243947,"Hip hop music, Music, Pop music",227.0,"['Hello', ""Tonight\nI just want to take you higher\nThrow your hands up in the sky\nLet's set this party off right\n\nPlayers, put yo' pinky rings up to the moon\nGirls, what y'all trying to do?\nTwenty four karat magic in the air\nHead to toe so player\nLook out, uh\n\nPop pop, it's show time (show time)\nShow time (show time)\nGuess who's back again?\nOh they don't know? (Go on tell 'em)\nOh they don't know? (Go on tell 'em)\nI bet they know soon as we walk in (showin' up)\nWearing Cuban links (ya)\nDesigner minks (ya)\nInglewood's finest shoes (whoop, whoop)\nDon't look too hard might hurt ya'self\nKnown to give the color red the blues\n\nOh shit, I'm a dangerous man with some money in my pocket (keep up)\nSo many pretty girls around me and they waking up the rocket (keep up)\nWhy you mad, fix ya face, ain't my fault y'all be jocking (keep up)\n\nPlayers only, come on\nPut your pinky rings up to the moon\nGirls, what y'all trying to do?\nTwenty four karat magic in the air\nHead to toe so player\nUh, look out!\n\nSecond verse for the hustlas (hustlas) gangstas (gangstas)\nBad bitches and ya ugly ass friends (haha)\nCan I preach? (Uh oh) can I preach? (Uh oh)\nI gotta show 'em how a pimp get it in\nFirst, take your sip (sip), do your dip (dip)\nSpend your money like money ain't shit (whoop, whoop)\nWe too fresh\nGot to blame in on Jesus\nHashtag blessed, they ain't ready for me\n\nI'm a dangerous man with some money in my pocket (keep up)\nSo many pretty girls around me and they waking up the rocket (keep up)\nWhy you mad, fix ya face, ain't my fault y'all be jocking (keep up)\n\nPlayers only, come on\nPut your pinky rings up to the moon\nHey girls\nWhat y'all trying to do? (What y'all trying to do?)\nTwenty four karat magic in the air\nHead to toe so player\nUh, look out!\n\neverywhere I go they be like\nOoh, so player\nEverywhere I go they be like (ooh, so player, ooh)\nOh everywhere I go they be like (ooh, so player, ooh)\n\nNow, now, now watch me break it down like (uh)\nTwenty four karat, twenty four karat magic\nWhat's that sound (twenty four karat, twenty four karat magic)\nCome on now\nTwenty four karat, twenty four karat magic\nDon't fight the feeling, invite the feeling\n\nJust put your pinky rings up to the moon\nGirls, what y'all trying to do? (Tell me what y'all trying to do)\nTwenty four karat magic in the air\nHead to toe so player (hands up!)\nPut your pinky rings up to the moon\nGirls, what y'all trying to do? (Do)\nTwenty four karat magic in the air\nHead to toe so player (twenty four karat) uh, look out"", '🔊🔊🔊', '❤❤❤❤❤', '❤', 'Me Gusta mucho esta canción gracias a PES2018', 'It’s my birthdayyy tmrw this is the song to vibee with fr', 'Banger', 'Świetny kawałek ❤', 'I miss Bruno Mars man']"
28,Sam Smith - I&#39;m Not The Only One ,1631475688,6677904.0,142539,"Music, Pop music, Soul music",280.0,"[""Unfortunately, it doesn't matter how hard you fight for a relationship. Someone will always be interested in someone else, forgetting everything they've been through and where they've gotten to. These scenes represent many women who go through betrayal but remain firm, hiding behind every tear shed that no one sees, to try to keep what they call family afloat."", 'why in your video always is the man the cheater?', 'This is the first song I ever heard from Sam Smith.', '2014:ye this is my fav song, I love the beat!\n\n2024:IVE LOVED YOU FOR MANY YEARS,MABYE IM JUST NOT ENOUGH??.?,,!,,!!!!!!!', 'I feel this now..', '1:52 LOVE THAT BIT!!!', 'When Sam had some fcking balls', 'Feb 2024 anyone?', 'I just went through the exact same thing now. Hearing this again after 5+ years of wasted time... DAMN 😥', 'Siempre dolerá está canción 😢']"
29,"Cardi B, Bad Bunny &amp; J Balvin - I Like It [Official Music Video]",1597709738,10646538.0,315135,"Electronic music, Hip hop music, Music, Music of Latin America, Pop music",257.0,"['QUE BUENA', 'I like proving boongs wrong, i do what they say i cant', 'Still watching in 🇿🇲🇿🇲 2024', 'Absolute hit bro. Remember this in 2018.fun year', 'TODO ME RECUERDA A ELLA ( LISA)😻❤', '😊😊❤❤', 'Damn ts crazy its rlly been 5 whole years 😮', 'Bb bb bbb bb bb bb bb bbb bb bb bb bb bb b b bb bb. Bb bb bb bb bb b bb bb bb bb bb bb bb b bb bb bb bbv b bb bb bb bb bb bb. Bb bb. B b bb bb bb bb bb bb bb bb. Bb bb b bb bbv bb bb bb bb bb bb bb bb bb bb bb b. Bb b bb bb bb b b bb bb bb bb bb bb bb bbv bb bb bb b bb bb bb bb bb bb b bb bbb bb bb bb bb bb b. Bb b bb bb b b bb bb bb bbb bb bb bb bb bb bb bb bb  b bb bb bbb bbv  b bb bbv bbb bb bb bb b bbv bb bb bb bb bb bb bb bb bb bb bb bb bb bb bb bb bb bb b bb bb bb bb bb bb bb bb. Bb b bb bb bb bb bb bb bb bb bb bb bb b bb bb bb bb bb bb bb b bb bb bb bb bb bb bb bb bb b b. B bb bb bb bb bb bb bb bb bb bb bbbv bb bb bb bb bbb bb bb bb bb bb bbv bb bb bb  b b bb bb bb bb bb bb bb b bb b bb b. V b bb bb bb.  B b bb bb bb bb bb bb bb b bb bb bb b bb bb b. Bb b b bb bb bb bb bb bb bb bb bb bb  b bb  b b bbb bb bb b bb bb bb bb bb bb bb bb. Bb bb  b bb bb b bb bb bb bb bb b. Bb bb bb bb. Bb b bb bb bb bb b bb bb bb bb bb bb bb b.', 'Me', 'WHO IS STILL WITH ME 2024!!!!❤️']"
